x y z charge scale scaleCoul Type
 0 0 2.67732  18.5657  8.48447 0 1 1 14
 1 0 1.45316  11.2786  1.44193 0 1 1 14
 2 0 2.49097  11.2408  4.97788 0 1 1 14
 3 0 12.2172  11.0415  0.081194 0 1 1 14
 4 0 15.8801  4.15682  2.24642 0 1 1 14
 5 0 4.38103  16.0286  5.33885 0 1 1 14
 6 0 15.8045  3.93441  9.36395 0 1 1 14
 7 0 23.2459  3.23305  6.17345 0 1 1 14
 8 0 10.9281  12.0642  10.6296 0 1 1 14
 9 0 21.7207  15.5972  8.73546 0 1 1 14
 10 0 24.4898  4.2146  2.99493 0 1 1 14
 11 0 24.7782  10.5573  4.6875 0 1 1 14
 12 0 16.8196  6.87666  5.86872 0 1 1 14
 13 0 21.9192  13.8021  12.1675 0 1 1 14
 14 0 1.22914  19.5472  5.25145 0 1 1 14
 15 0 8.11941  7.77868  1.15904 0 1 1 14
 16 0 11.3926  18.0541  6.72668 0 1 1 14
 17 0 3.12086  18.694  1.94499 0 1 1 14
 18 0 1.80495  19.4147  12.2592 0 1 1 14
 19 0 2.75486  2.48088  10.6873 0 1 1 14
 20 0 11.1043  3.46075  8.61566 0 1 1 14
 21 0 8.02842  22.4999  0.298235 0 1 1 14
 22 0 1.97296  4.55335  7.23738 0 1 1 14
 23 0 4.01527  14.7265  8.69772 0 1 1 14
 24 0 14.6193  11.5554  9.53732 0 1 1 14
 25 0 2.0424  4.37041  14.1638 0 1 1 14
 26 0 16.0898  11.2865  13.4846 0 1 1 14
 27 0 4.29142  0.847062  0.0130191 0 1 1 14
 28 0 22.3148  16.5267  1.03626 0 1 1 14
 29 0 24.3222  19.1613  7.79976 0 1 1 14
 30 0 15.6656  18.6505  6.97991 0 1 1 14
 31 0 2.52583  11.2509  11.1344 0 1 1 14
 32 0 21.1597  15.1592  4.11354 0 1 1 14
 33 0 23.2024  18.6195  11.4404 0 1 1 14
 34 0 4.63186  14.6932  12.684 0 1 1 14
 35 0 11.5265  3.13227  1.81534 0 1 1 14
 36 0 9.9287  4.62583  4.85501 0 1 1 14
 37 0 21.5474  0.72445  4.13156 0 1 1 14
 38 0 10.3494  8.68883  12.1455 0 1 1 14
 39 0 10.116  3.79834  11.9406 0 1 1 14
 40 0 4.11469  -0.610203  6.48695 0 1 1 14
 41 0 9.41076  8.05608  4.76377 0 1 1 14
 42 0 24.9501  4.71127  8.87545 0 1 1 14
 43 0 3.6387  2.74692  4.90738 0 1 1 14
 44 0 17.4513  21.7196  2.93349 0 1 1 14
 45 0 17.9954  7.34876  2.75126 0 1 1 14
 46 0 14.7131  11.9516  3.0942 0 1 1 14
 47 0 16.1064  19.5226  13.8313 0 1 1 14
 48 0 23.9169  10.5686  11.4112 0 1 1 14
 49 0 23.1788  3.5034  13.213 0 1 1 14
 50 0 12.7318  18.0592  -0.258474 0 1 1 14
 51 0 14.7992  18.4789  10.431 0 1 1 14
 52 0 14.6816  18.665  3.22577 0 1 1 14
 53 0 0.760614  0.37223  13.5431 0 1 1 14
 54 0 8.41775  7.13275  9.17863 0 1 1 14
 55 0 26.0417  11.01  8.02177 0 1 1 14
 56 0 10.2863  19.0779  10.0101 0 1 1 14
 57 0 23.5416  18.7503  4.15208 0 1 1 14
 58 0 18.2338  7.6938  9.57985 0 1 1 14
 59 0 10.861  11.9348  3.82376 0 1 1 14
 60 0 15.167  3.8142  -0.959849 0 1 1 14
 61 0 14.9436  3.68558  5.65287 0 1 1 14
 62 0 10.2308  19.2476  2.71749 0 1 1 14
 63 0 23.6913  11.9832  1.33572 0 1 1 14
 64 0 22.2532  12.6824  6.5387 0 1 1 14
 65 0 17.2948  7.48612  13.0826 0 1 1 14
 66 0 17.4288  21.9159  10.1908 0 1 1 14
 67 0 9.21426  21.2978  7.30238 0 1 1 14
 68 0 21.9211  0.660241  10.5992 0 1 1 14
 69 0 14.5458  8.05555  10.538 0 1 1 14
