x y z charge scale scaleCoul Type
 0 0 32.2502  30.3089  29.7509 -0.35 1 1 7
 0 1 33.1452  30.4665  29.0301 0.7 1 1 6
 0 2 34.0403  30.6241  28.3092 -0.35 1 1 7
 1 0 10.4003  7.76309  14.9781 -0.35 1 1 7
 1 1 10.8219  8.71683  14.4699 0.7 1 1 6
 1 2 11.2435  9.67057  13.9617 -0.35 1 1 7
 2 0 0.267975  4.9866  14.9207 -0.35 1 1 7
 2 1 0.683696  5.38808  13.9149 0.7 1 1 6
 2 2 1.09942  5.78957  12.9092 -0.35 1 1 7
 3 0 37.3495  20.1734  29.7066 -0.35 1 1 7
 3 1 37.7702  19.6748  28.7474 0.7 1 1 6
 3 2 38.1908  19.1762  27.7882 -0.35 1 1 7
 4 0 24.8109  4.63827  33.0346 -0.35 1 1 7
 4 1 25.0243  4.77765  34.1662 0.7 1 1 6
 4 2 25.2378  4.91704  35.2978 -0.35 1 1 7
 5 0 22.2094  18.3545  20.572 -0.35 1 1 7
 5 1 21.0985  18.1033  20.3521 0.7 1 1 6
 5 2 19.9876  17.8521  20.1322 -0.35 1 1 7
 6 0 14.9608  18.5231  -0.245578 -0.35 1 1 7
 6 1 15.1391  18.7444  -1.37022 0.7 1 1 6
 6 2 15.3173  18.9658  -2.49486 -0.35 1 1 7
 7 0 4.88215  6.8554  38.5631 -0.35 1 1 7
 7 1 4.86701  7.46394  39.5505 0.7 1 1 6
 7 2 4.85188  8.07248  40.5379 -0.35 1 1 7
 8 0 10.4576  7.70769  20.0875 -0.35 1 1 7
 8 1 10.812  7.28412  19.0675 0.7 1 1 6
 8 2 11.1664  6.86056  18.0474 -0.35 1 1 7
 9 0 4.6019  5.48489  28.5601 -0.35 1 1 7
 9 1 5.04067  6.40042  27.999 0.7 1 1 6
 9 2 5.47943  7.31595  27.4378 -0.35 1 1 7
 10 0 11.3717  5.13351  40.0556 -0.35 1 1 7
 10 1 12.0336  4.78236  39.1701 0.7 1 1 6
 10 2 12.6954  4.4312  38.2845 -0.35 1 1 7
 11 0 25.1254  21.3743  26.4623 -0.35 1 1 7
 11 1 25.3373  20.3332  26.9281 0.7 1 1 6
 11 2 25.5491  19.2922  27.3939 -0.35 1 1 7
 12 0 34.6603  23.2405  4.40084 -0.35 1 1 7
 12 1 34.0098  22.4675  3.83084 0.7 1 1 6
 12 2 33.3593  21.6945  3.26085 -0.35 1 1 7
 13 0 25.2152  7.03455  15.1961 -0.35 1 1 7
