x y z charge scale scaleCoul Type
 0 0 19.375  38.8816  7.96143 -0.3256 1 1 17
 0 1 19.9354  39.6491  7.29625 0.6512 1 1 16
 0 2 20.4957  40.4167  6.63107 -0.3256 1 1 17
 1 0 35.0078  34.9967  14.9789 -0.3256 1 1 17
 1 1 34.4343  35.5155  15.8435 0.6512 1 1 16
 1 2 33.8609  36.0342  16.7082 -0.3256 1 1 17
 2 0 36.1954  24.1293  9.68017 -0.3256 1 1 17
 2 1 35.3307  23.8899  8.94499 0.6512 1 1 16
 2 2 34.4659  23.6505  8.2098 -0.3256 1 1 17
 3 0 9.83982  29.1163  14.1596 -0.3256 1 1 17
 3 1 10.3441  29.9334  13.5088 0.6512 1 1 16
 3 2 10.8483  30.7506  12.858 -0.3256 1 1 17
 4 0 24.7014  35.2791  17.9135 -0.3256 1 1 17
 4 1 25.3984  34.6507  18.5954 0.6512 1 1 16
 4 2 26.0955  34.0224  19.2772 -0.3256 1 1 17
 5 0 29.7332  17.2504  13.3751 -0.3256 1 1 17
 5 1 29.6061  16.1807  12.9447 0.6512 1 1 16
 5 2 29.479  15.111  12.5144 -0.3256 1 1 17
 6 0 1.69498  5.33933  11.835 -0.3256 1 1 17
 6 1 2.75134  5.44236  12.303 0.6512 1 1 16
 6 2 3.8077  5.5454  12.7711 -0.3256 1 1 17
 7 0 31.1587  9.42484  0.0567197 -0.3256 1 1 17
 7 1 30.2487  9.98682  -0.392294 0.6512 1 1 16
 7 2 29.3387  10.5488  -0.841308 -0.3256 1 1 17
 8 0 25.388  33.8292  5.03617 -0.3256 1 1 17
 8 1 24.7543  34.3175  4.19619 0.6512 1 1 16
 8 2 24.1206  34.8057  3.35622 -0.3256 1 1 17
 9 0 28.9854  38.9876  11.9119 -0.3256 1 1 17
 9 1 29.7721  39.5275  12.5715 0.6512 1 1 16
 9 2 30.5589  40.0674  13.2311 -0.3256 1 1 17
 10 0 37.8479  25.6709  21.686 -0.3256 1 1 17
 10 1 38.8995  25.7847  21.2098 0.6512 1 1 16
 10 2 39.9511  25.8984  20.7336 -0.3256 1 1 17
 11 0 29.3348  10.2341  13.5745 -0.3256 1 1 17
 11 1 30.1952  9.56006  13.9629 0.6512 1 1 16
 11 2 31.0556  8.88598  14.3514 -0.3256 1 1 17
 12 0 21.1235  15.5281  4.79797 -0.3256 1 1 17
 12 1 22.2212  15.72  4.4756 0.6512 1 1 16
 12 2 23.3188  15.9118  4.15323 -0.3256 1 1 17
 13 0 29.5338  22.4445  26.5455 -0.3256 1 1 17
 13 1 30.2412  21.7009  27.0862 0.6512 1 1 16
 13 2 30.9486  20.9574  27.6269 -0.3256 1 1 17
 14 0 8.50484  5.55337  26.0225 -0.3256 1 1 17
 14 1 7.40976  5.42017  25.6638 0.6512 1 1 16
 14 2 6.31468  5.28697  25.3051 -0.3256 1 1 17
 15 0 18.66  15.6964  15.0535 -0.3256 1 1 17
 15 1 17.8353  14.8925  15.1916 0.6512 1 1 16
 15 2 17.0105  14.0885  15.3298 -0.3256 1 1 17
