x y z charge scale scaleCoul Type
 0 0 24.2978  34.9368  3.87328 -0.3256 1 1 17
 0 1 24.8094  34.818  4.90754 0.6512 1 1 16
 0 2 25.3211  34.6993  5.94179 -0.3256 1 1 17
 1 0 1.04894  17.9249  6.37879 -0.3256 1 1 17
 1 1 1.49345  17.0734  5.7285 0.6512 1 1 16
 1 2 1.93796  16.2218  5.07822 -0.3256 1 1 17
 2 0 39.704  29.4622  20.2704 -0.3256 1 1 17
 2 1 39.4125  28.3529  20.0962 0.6512 1 1 16
 2 2 39.1211  27.2437  19.922 -0.3256 1 1 17
 3 0 14.1947  4.92343  20.5497 -0.3256 1 1 17
 3 1 14.6322  4.73824  21.6079 0.6512 1 1 16
 3 2 15.0697  4.55305  22.6661 -0.3256 1 1 17
 4 0 18.5445  5.8881  8.73969 -0.3256 1 1 17
 4 1 19.5109  6.25986  8.21672 0.6512 1 1 16
 4 2 20.4773  6.63161  7.69374 -0.3256 1 1 17
 5 0 3.97111  24.9369  12.9693 -0.3256 1 1 17
 5 1 4.44197  25.061  11.9164 0.6512 1 1 16
 5 2 4.91283  25.185  10.8636 -0.3256 1 1 17
 6 0 30.1092  7.60957  13.8911 -0.3256 1 1 17
 6 1 30.0405  8.61004  13.3081 0.6512 1 1 16
 6 2 29.9719  9.61051  12.7251 -0.3256 1 1 17
 7 0 15.7247  35.9003  14.5953 -0.3256 1 1 17
 7 1 15.2545  35.1666  15.3609 0.6512 1 1 16
 7 2 14.7843  34.433  16.1266 -0.3256 1 1 17
 8 0 19.51  20.2134  7.06106 -0.3256 1 1 17
 8 1 20.136  20.4561  6.11511 0.6512 1 1 16
 8 2 20.762  20.6989  5.16917 -0.3256 1 1 17
 9 0 0.399652  6.06534  22.6815 -0.3256 1 1 17
 9 1 1.32108  5.66187  23.2592 0.6512 1 1 16
 9 2 2.24251  5.2584  23.8369 -0.3256 1 1 17
 10 0 10.8989  25.8577  9.18253 -0.3256 1 1 17
 10 1 10.9041  25.6222  10.3184 0.6512 1 1 16
 10 2 10.9092  25.3868  11.4542 -0.3256 1 1 17
 11 0 1.32006  28.4681  6.20347 -0.3256 1 1 17
 11 1 0.955438  27.4681  6.66453 0.6512 1 1 16
 11 2 0.59082  26.468  7.12558 -0.3256 1 1 17
