x y z charge scale scaleCoul Type
 0 0 7.63298  7.10367  10.7067 0 1 1 13
 1 0 23.1131  6.08408  12.0979 0 1 1 13
 2 0 29.6148  21.6628  21.3137 0 1 1 13
 3 0 29.9999  21.281  12.6525 0 1 1 13
 4 0 24.634  28.6664  29.8417 0 1 1 13
 5 0 1.40519  6.10537  13.8969 0 1 1 13
 6 0 7.57765  26.914  19.0848 0 1 1 13
 7 0 29.8662  27.8581  19.873 0 1 1 13
 8 0 3.91911  4.62114  23.0015 0 1 1 13
 9 0 12.7955  23.8844  0.143952 0 1 1 13
 10 0 24.1558  26.9969  13.7785 0 1 1 13
 11 0 14.8278  4.49542  28.3735 0 1 1 13
 12 0 11.6706  28.8174  23.8324 0 1 1 13
 13 0 12.5325  23.4922  26.5015 0 1 1 13
 14 0 31.0976  10.6332  24.9078 0 1 1 13
 15 0 0.755667  1.44042  20.5575 0 1 1 13
 16 0 0.151798  27.9575  1.76584 0 1 1 13
 17 0 2.87985  25.2902  4.66208 0 1 1 13
 18 0 23.203  10.9049  24.6285 0 1 1 13
 19 0 8.624  25.2543  12.2015 0 1 1 13
 20 0 7.34044  28.277  6.37756 0 1 1 13
 21 0 28.5592  4.9004  12.7137 0 1 1 13
 22 0 16.8162  5.34393  2.39454 0 1 1 13
 23 0 2.75664  19.7275  1.33921 0 1 1 13
 24 0 26.3068  2.21496  29.2899 0 1 1 13
 25 0 23.5596  19.7961  7.56681 0 1 1 13
 26 0 4.41051  16.4598  24.6013 0 1 1 13
 27 0 3.84818  31.2172  25.1487 0 1 1 13
 28 0 5.42584  5.71754  13.8454 0 1 1 13
 29 0 5.69873  13.9925  29.5903 0 1 1 13
 30 0 24.0046  28.4575  3.58619 0 1 1 13
 31 0 1.14779  16.4459  6.00256 0 1 1 13
 32 0 27.9735  19.0999  26.6486 0 1 1 13
 33 0 -1.72119  4.46295  5.32397 0 1 1 13
 34 0 3.86371  23.5469  8.42478 0 1 1 13
 35 0 25.9918  5.76659  28.2356 0 1 1 13
 36 0 24.3044  21.7441  28.2609 0 1 1 13
 37 0 27.5224  8.85487  8.6352 0 1 1 13
 38 0 6.31796  10.4434  8.21418 0 1 1 13
 39 0 3.55055  20.1365  22.2157 0 1 1 13
 40 0 0.765473  30.1731  9.95449 0 1 1 13
 41 0 3.20984  8.82908  9.97395 0 1 1 13
 42 0 9.64066  1.25246  6.90837 0 1 1 13
 43 0 11.0023  28.3005  4.76403 0 1 1 13
 44 0 20.7628  3.3833  21.466 0 1 1 13
 45 0 7.19527  2.34478  11.5583 0 1 1 13
 46 0 23.7412  24.453  0.989705 0 1 1 13
 47 0 14.7685  28.5075  6.39542 0 1 1 13
 48 0 4.02234  28.2087  -0.203659 0 1 1 13
 49 0 2.28192  5.46399  4.06984 0 1 1 13
 50 0 26.5954  28.5209  25.2937 0 1 1 13
 51 0 28.8073  18.8307  6.76788 0 1 1 13
 52 0 10.7904  28.372  0.796197 0 1 1 13
 53 0 21.9949  27.5569  23.9395 0 1 1 13
 54 0 10.6371  26.2658  8.31784 0 1 1 13
 55 0 31.0468  10.0364  28.9172 0 1 1 13
 56 0 3.16098  3.65139  16.6954 0 1 1 13
 57 0 30.4052  1.38605  25.226 0 1 1 13
 58 0 27.2528  26.0686  4.13628 0 1 1 13
 59 0 8.51486  29.426  27.3299 0 1 1 13
 60 0 18.0509  1.64607  4.5132 0 1 1 13
 61 0 22.6103  -0.0795077  13.2988 0 1 1 13
 62 0 30.3903  20.752  29.9771 0 1 1 13
 63 0 8.5043  0.600795  33.8662 0 1 1 13
 64 0 26.9727  8.08663  4.73514 0 1 1 13
 65 0 4.2128  10.1575  28.0439 0 1 1 13
 66 0 2.28994  4.23368  0.139912 0 1 1 13
 67 0 17.3173  24.2589  1.46088 0 1 1 13
 68 0 0.458069  24.5545  10.54 0 1 1 13
 69 0 3.03824  4.22637  26.7066 0 1 1 13
 70 0 11.5595  27.5815  19.0335 0 1 1 13
 71 0 8.52541  29.2167  10.262 0 1 1 13
 72 0 27.7872  22.1134  17.1618 0 1 1 13
 73 0 4.90163  13.679  5.7048 0 1 1 13
 74 0 10.4894  7.6667  2.81357 0 1 1 13
 75 0 26.4225  15.9771  27.9583 0 1 1 13
 76 0 2.77481  23.2762  18.3502 0 1 1 13
 77 0 2.6278  13.4404  26.5989 0 1 1 13
 78 0 32.1994  0.204217  29.132 0 1 1 13
 79 0 28.3441  29.4476  28.5745 0 1 1 13
 80 0 3.76237  27.6093  7.94607 0 1 1 13
 81 0 1.36631  24.8399  21.9762 0 1 1 13
 82 0 26.8521  24.3178  13.4525 0 1 1 13
 83 0 27.5268  0.451587  21.8136 0 1 1 13
 84 0 28.1075  26.6602  16.4479 0 1 1 13
 85 0 6.7008  27.5605  2.80153 0 1 1 13
 86 0 3.46353  29.3719  4.36299 0 1 1 13
 87 0 20.4249  29.7125  20.3757 0 1 1 13
 88 0 0.217785  6.17731  9.76122 0 1 1 13
 89 0 29.5761  10.9717  2.58686 0 1 1 13
 90 0 25.7808  29.49  6.80853 0 1 1 13
 91 0 23.1368  19.2687  3.70549 0 1 1 13
 92 0 0.887352  5.2965  19.5596 0 1 1 13
 93 0 13.9889  26.4877  3.11383 0 1 1 13
 94 0 2.0467  7.7258  0.950703 0 1 1 13
 95 0 9.37616  21.7573  28.5041 0 1 1 13
 96 0 25.9581  16.1838  23.8479 0 1 1 13
 97 0 28.9165  3.61377  1.28921 0 1 1 13
 98 0 16.9325  4.09061  24.669 0 1 1 13
 99 0 30.0133  26.7855  7.37076 0 1 1 13
 100 0 -0.0856839  16.2342  24.8726 0 1 1 13
 101 0 2.68085  14.9544  11.7309 0 1 1 13
 102 0 19.8609  27.8703  7.39054 0 1 1 13
 103 0 1.96458  20.249  5.04608 0 1 1 13
 104 0 4.68197  29.5944  11.1532 0 1 1 13
 105 0 29.9122  0.026467  5.77076 0 1 1 13
 106 0 25.8254  23.4505  23.3847 0 1 1 13
 107 0 10.2671  4.35242  9.33733 0 1 1 13
 108 0 28.81  7.66703  0.4171 0 1 1 13
 109 0 12.1226  20.6377  21.3347 0 1 1 13
 110 0 22.5385  3.56492  29.8168 0 1 1 13
 111 0 5.55629  1.23314  8.19786 0 1 1 13
 112 0 20.7251  22.8738  7.20204 0 1 1 13
 113 0 4.28241  16.2697  2.50405 0 1 1 13
 114 0 1.66799  23.786  27.5389 0 1 1 13
