Component 1: methane
Min Macrostate : 200
Max Macrostate : 300
Wang-Landau Factor : 1
N CM[-1] CM[0] CM[1] WLBias ln_g TMBias lnpi Forward_lnpi Reverse_lnpi Histogram
200 37830.4 2.65015e+06 33558.2 -2.95892e+06 2.69085e+06 1.94372 -1.94372 0 0 2.23588e+06
201 35277.3 2.46759e+06 31230 -2.75945e+06 2.95894e+06 2.06557 -2.06557 -4.39606 -0.121848 2.53678e+06
202 32733.5 2.30139e+06 29033.7 -2.75946e+06 2.75946e+06 2.18358 -2.18358 -4.51923 -0.239861 2.36487e+06
203 31013.6 2.14823e+06 27156.4 -2.42709e+06 2.5794e+06 2.31855 -2.31855 -4.6392 -0.374829 2.21176e+06
204 29214.5 2.02601e+06 25792.2 -2.27226e+06 2.4271e+06 2.44901 -2.44901 -4.77125 -0.505284 2.0801e+06
205 27762.6 1.89434e+06 23815 -2.13355e+06 2.27227e+06 2.58901 -2.58901 -4.8961 -0.645287 1.94778e+06
206 26038.6 1.77877e+06 22281.9 -2.00544e+06 2.13357e+06 2.74128 -2.74128 -5.04866 -0.797557 1.82895e+06
207 24713.5 1.67232e+06 20866.4 -1.8878e+06 2.00545e+06 2.90733 -2.90733 -5.20526 -0.963609 1.71894e+06
208 23523.1 1.57339e+06 19559.2 -1.77749e+06 1.88783e+06 3.08858 -3.08858 -5.37445 -1.14486 1.61828e+06
209 22491.9 1.48225e+06 18622.4 -1.77749e+06 1.77749e+06 3.28843 -3.28843 -5.56088 -1.34471 1.52326e+06
210 21128.3 1.39513e+06 17628.5 -1.77749e+06 1.67781e+06 3.47407 -3.47407 -5.74772 -1.53035 1.43869e+06
211 20386.4 1.33278e+06 16571.7 -1.67779e+06 1.59787e+06 3.66663 -3.66663 -5.92952 -1.72291 1.36969e+06
212 19236 1.26615e+06 15581 -1.59786e+06 1.52111e+06 3.86608 -3.86608 -6.13741 -1.92235 1.30413e+06
213 18756.1 1.2182e+06 14861.8 -1.52108e+06 1.45999e+06 4.08868 -4.08868 -6.34747 -2.14496 1.25109e+06
214 18149.6 1.16996e+06 14477 -1.45997e+06 1.40647e+06 4.32785 -4.32785 -6.57845 -2.38413 1.20678e+06
215 17925.5 1.14487e+06 14105.7 -1.40646e+06 1.37033e+06 4.56055 -4.56055 -6.80317 -2.61683 1.17361e+06
216 17240.8 1.09796e+06 13657.6 -1.3703e+06 1.32002e+06 4.80344 -4.80344 -7.04256 -2.85972 1.13193e+06
