Component 1: CO2 -> Updated 198 times 
Min Macrostate : 60
Max Macrostate : 120
Wang-Landau Factor : 1
N NMol Bin CM[-1] CM[0] CM[1] WLBias ln_g TMBias lnpi Forward_lnpi Reverse_lnpi Histogram
0 0 0 254843 1.88512e+06 104519 -2.45551e-321 2.1778e+06 0.538495 -0.538495 0 0 1.72819e+06
1 1 0 214949 1.61059e+06 88138.4 -2.45551e-321 2.3386e+06 1.41899 -1.41899 -3.06676 -0.880499 1.9547e+06
2 2 0 196870 1.5e+06 81608.1 0.538495 2.14643e+06 2.29599 -2.29599 -3.95818 -1.75749 1.79016e+06
3 3 0 186951 1.44973e+06 78051.3 1.41899 2.06434e+06 3.16147 -3.16147 -4.83893 -2.62297 1.72273e+06
4 4 0 181825 1.42434e+06 77024 3.16147 2.02305e+06 4.0257 -4.0257 -5.71236 -3.48721 1.6863e+06
5 5 0 177696 1.4186e+06 75605.2 4.0257 2.00812e+06 4.86819 -4.86819 -6.57127 -4.3297 1.67404e+06
6 6 0 175450 1.41772e+06 74983.3 4.0257 1.99988e+06 5.71264 -5.71264 -7.42607 -5.17415 1.6663e+06
7 7 0 172218 1.41216e+06 74400.9 5.71264 1.99012e+06 6.54978 -6.54978 -8.27646 -6.01128 1.65867e+06
8 8 0 169017 1.40255e+06 73368 6.54978 1.9739e+06 7.37907 -7.37907 -9.11561 -6.84058 1.64475e+06
9 9 0 166362 1.39704e+06 72699.7 6.54978 1.96728e+06 8.20322 -8.20322 -9.95051 -7.66472 1.64028e+06
10 10 0 164362 1.40454e+06 72687.9 7.37907 1.96867e+06 9.01569 -9.01569 -10.7785 -8.4772 1.64011e+06
11 11 0 162850 1.40697e+06 72447.2 7.37907 1.97816e+06 9.8218 -9.8218 -11.5944 -9.28331 1.64961e+06
12 12 0 164435 1.44788e+06 73650.3 9.01569 2.00584e+06 10.615 -10.615 -12.404 -10.0765 1.66949e+06
13 13 0 158325 1.40718e+06 71474.2 9.01569 1.97062e+06 11.4098 -11.4098 -13.207 -10.8713 1.64274e+06
14 14 0 155226 1.39911e+06 70431.9 9.8218 1.9523e+06 12.1929 -12.1929 -14.0023 -11.6544 1.62824e+06
15 15 0 153602 1.40338e+06 70388.4 10.615 1.95092e+06 12.9707 -12.9707 -14.7928 -12.4322 1.62591e+06
16 16 0 151535 1.40037e+06 69842.7 11.4098 1.94615e+06 13.7409 -13.7409 -15.5732 -13.2024 1.62246e+06
17 17 0 149923 1.40141e+06 69392.3 12.1929 1.94558e+06 14.505 -14.505 -16.3473 -13.9666 1.62107e+06
18 18 0 147450 1.39645e+06 68693.2 13.7409 1.93833e+06 15.2637 -15.2637 -17.1173 -14.7252 1.61517e+06
19 19 0 146089 1.40376e+06 68583.1 13.7409 1.94e+06 16.0147 -16.0147 -17.881 -15.4762 1.61654e+06
20 20 0 143977 1.40868e+06 68889.7 14.505 1.94312e+06 16.7541 -16.7541 -18.6372 -16.2156 1.61943e+06
21 21 0 141994 1.40152e+06 67945.2 16.0147 1.93532e+06 17.4834 -17.4834 -19.374 -16.9449 1.61287e+06
22 22 0 140518 1.40184e+06 67680.9 16.7541 1.93594e+06 18.2103 -18.2103 -20.1109 -17.6718 1.61338e+06
23 23 0 139938 1.41238e+06 67723.2 17.4834 1.98909e+06 18.9302 -18.9302 -20.8409 -18.3917 1.6647e+06
24 24 0 158502 1.62142e+06 77725.1 18.2103 2.15668e+06 19.6437 -19.6437 -21.5667 -19.1052 1.78564e+06
25 25 0 147313 1.51583e+06 72235.4 18.9302 2.09344e+06 20.3509 -20.3509 -22.279 -19.8124 1.74593e+06
26 26 0 139160 1.4581e+06 69088.2 19.6437 2.00716e+06 21.0471 -21.0471 -22.9915 -20.5086 1.67429e+06
27 27 0 135566 1.43457e+06 67765 19.6437 1.96705e+06 21.7384 -21.7384 -23.6917 -21.1999 1.63955e+06
