Component 1: CO2 -> Updated 198 times 
Min Macrostate : 60
Max Macrostate : 120
Wang-Landau Factor : 1
N NMol Bin CM[-1] CM[0] CM[1] WLBias ln_g TMBias lnpi Forward_lnpi Reverse_lnpi Histogram
0 0 0 254776 1.88468e+06 104493 -2.45551e-321 2.17726e+06 0.538495 -0.538495 0 0 1.72777e+06
1 1 0 214889 1.61012e+06 88113.8 0.538495 2.33794e+06 1.41899 -1.41899 -3.06676 -0.880499 1.95416e+06
2 2 0 196816 1.49956e+06 81584.1 1.41899 2.14578e+06 2.29599 -2.29599 -3.95818 -1.75749 1.78962e+06
3 3 0 186883 1.44914e+06 78021.9 2.29599 2.06355e+06 3.16147 -3.16147 -4.83893 -2.62297 1.72208e+06
4 4 0 181761 1.42377e+06 76999.2 3.16147 2.02226e+06 4.0257 -4.0257 -5.71236 -3.48721 1.68564e+06
5 5 0 177636 1.41812e+06 75574.2 4.0257 2.00742e+06 4.86819 -4.86819 -6.57127 -4.3297 1.67345e+06
6 6 0 175382 1.4171e+06 74942.9 4.86819 1.99902e+06 5.71264 -5.71264 -7.42607 -5.17415 1.66557e+06
7 7 0 172133 1.41152e+06 74365.4 5.71264 1.9892e+06 6.54978 -6.54978 -8.27646 -6.01128 1.65791e+06
8 8 0 168938 1.40185e+06 73333.9 6.54978 1.97292e+06 7.37907 -7.37907 -9.11561 -6.84058 1.64393e+06
9 9 0 166272 1.39622e+06 72656.1 5.71264 1.96615e+06 8.20322 -8.20322 -9.95051 -7.66472 1.63933e+06
10 10 0 164257 1.40357e+06 72643.7 8.20322 1.96737e+06 9.01569 -9.01569 -10.7785 -8.4772 1.63902e+06
11 11 0 162747 1.40623e+06 72406.2 9.01569 1.9771e+06 9.8218 -9.8218 -11.5944 -9.28331 1.64872e+06
12 12 0 164325 1.44709e+06 73613.9 9.01569 2.00474e+06 10.615 -10.615 -12.404 -10.0765 1.66858e+06
13 13 0 158245 1.40654e+06 71434.1 10.615 1.96965e+06 11.4098 -11.4098 -13.207 -10.8713 1.64192e+06
14 14 0 155132 1.39831e+06 70391.4 11.4098 1.95126e+06 12.1929 -12.1929 -14.0023 -11.6544 1.62738e+06
15 15 0 153523 1.40281e+06 70358.4 12.1929 1.95004e+06 12.9707 -12.9707 -14.7928 -12.4322 1.62517e+06
16 16 0 151460 1.39977e+06 69804.6 12.1929 1.9453e+06 13.7409 -13.7409 -15.5732 -13.2024 1.62174e+06
17 17 0 149838 1.40077e+06 69360.4 13.7409 1.94467e+06 14.505 -14.505 -16.3473 -13.9666 1.62032e+06
18 18 0 147379 1.39586e+06 68663.3 12.9707 1.93754e+06 15.2637 -15.2637 -17.1173 -14.7252 1.61452e+06
19 19 0 146039 1.40326e+06 68555.7 15.2637 1.93931e+06 16.0147 -16.0147 -17.881 -15.4762 1.61595e+06
20 20 0 143927 1.40829e+06 68873.9 16.0147 1.94254e+06 16.7541 -16.7541 -18.6372 -16.2156 1.61895e+06
21 21 0 141959 1.4012e+06 67933.7 16.7541 1.93489e+06 17.4834 -17.4834 -19.374 -16.9449 1.61251e+06
22 22 0 140494 1.40159e+06 67668.8 16.0147 1.93556e+06 18.2103 -18.2103 -20.1109 -17.6718 1.61306e+06
23 23 0 139904 1.41208e+06 67710.2 18.2103 1.9887e+06 18.9302 -18.9302 -20.8409 -18.3917 1.66438e+06
24 24 0 158471 1.62112e+06 77709.4 18.9302 2.15628e+06 19.6437 -19.6437 -21.5667 -19.1052 1.7853e+06
25 25 0 147282 1.51561e+06 72220.7 18.9302 2.09309e+06 20.3509 -20.3509 -22.279 -19.8124 1.74564e+06
26 26 0 139136 1.45786e+06 69077.4 20.3509 2.00683e+06 21.0471 -21.0471 -22.9915 -20.5086 1.67402e+06
27 27 0 135540 1.4343e+06 67751.2 21.0471 1.96669e+06 21.7384 -21.7384 -23.6917 -21.1999 1.63925e+06
28 28 0 132906 1.42221e+06 66894.1 21.7384 1.95064e+06 22.4216 -22.4216 -24.385 -21.8831 1.62679e+06
29 29 0 132044 1.42315e+06 66522.8 21.7384 1.94617e+06 23.102 -23.102 -25.0716 -22.5635 1.62197e+06
30 30 0 131343 1.43044e+06 66428 23.102 1.95032e+06 23.778 -23.778 -25.7572 -23.2395 1.62483e+06
31 31 0 128796 1.42001e+06 65824 23.102 1.94015e+06 24.4488 -24.4488 -26.439 -23.9104 1.61718e+06
32 32 0 127437 1.42021e+06 65633.1 23.778 1.93473e+06 25.11 -25.11 -27.1102 -24.5715 1.6123e+06
33 33 0 126053 1.4205e+06 65235 25.11 1.93286e+06 25.7635 -25.7635 -27.7734 -25.225 1.61103e+06
34 34 0 124001 1.41631e+06 64552 25.11 1.92521e+06 26.4101 -26.4101 -28.4322 -25.8716 1.6049e+06
35 35 0 122105 1.40153e+06 63689.2 25.11 1.90942e+06 27.0588 -27.0588 -29.0849 -26.5203 1.59126e+06
36 36 0 121221 1.41024e+06 64024.5 25.7635 1.9125e+06 27.697 -27.697 -29.7359 -27.1585 1.59374e+06
37 37 0 120354 1.4155e+06 63893.1 26.4101 1.91825e+06 28.3258 -28.3258 -30.3741 -27.7873 1.59853e+06
38 38 0 118967 1.4141e+06 63779 27.697 1.91576e+06 28.9493 -28.9493 -31.0076 -28.4108 1.59704e+06
