Component 1: methane
Min Macrostate : 200
Max Macrostate : 300
Wang-Landau Factor : 1
N CM[-1] CM[0] CM[1] WLBias ln_g TMBias lnpi Forward_lnpi Reverse_lnpi Histogram
200 700.392 32518.2 474.438 -27359 31942 1 0 0 0 26457
201 477.937 22092.1 302.997 -18443 27364 1 0 0 0 23498
202 287.751 15016.5 200.713 -18442 18443 1 0 0 0 15759
203 194.791 9854.48 137.732 -18443 12488 1 0 0 0 10754
204 139.421 7961.69 103.888 -12474 9589 1 0 0 0 8216
205 115.646 6841.48 84.8777 -9556 8095 1 0 0 0 6970
206 79.9098 5099.61 65.4794 -6137 6138 1 0 0 0 5295
207 60.9604 3375.82 41.2177 -6127 4066 1 0 0 0 3463
208 37.0798 1604.79 17.1316 -4053 2167 1 0 0 0 1905
209 19.9283 1081.19 8.88593 -2120 1235 1 0 0 0 1046
210 3.53781 202.925 3.53753 -1177 404 1 0 0 0 375
211 5.1866 356.824 3.98971 -322 387 1 0 0 0 329
212 4.10011 263.042 2.85762 -378 330 1 0 0 0 282
213 5.16452 151.419 0.416877 -325 174 1 0 0 0 146
214 0 0 0 -150 20 1 0 0 0 20
215 0 0 0 0 0 1 0 0 0 0
216 0 0 0 0 0 1 0 0 0 0
217 0 0 0 0 0 1 0 0 0 0
218 0 0 0 0 0 1 0 0 0 0
219 0 0 0 0 0 1 0 0 0 0
220 0 0 0 0 0 1 0 0 0 0
221 0 0 0 0 0 1 0 0 0 0
222 0 0 0 0 0 1 0 0 0 0
223 0 0 0 0 0 1 0 0 0 0
224 0 0 0 0 0 1 0 0 0 0
225 0 0 0 0 0 1 0 0 0 0
226 0 0 0 0 0 1 0 0 0 0
227 0 0 0 0 0 1 0 0 0 0
228 0 0 0 0 0 1 0 0 0 0
229 0 0 0 0 0 1 0 0 0 0
230 0 0 0 0 0 1 0 0 0 0
231 0 0 0 0 0 1 0 0 0 0
232 0 0 0 0 0 1 0 0 0 0
233 0 0 0 0 0 1 0 0 0 0
234 0 0 0 0 0 1 0 0 0 0
235 0 0 0 0 0 1 0 0 0 0
236 0 0 0 0 0 1 0 0 0 0
237 0 0 0 0 0 1 0 0 0 0
238 0 0 0 0 0 1 0 0 0 0
239 0 0 0 0 0 1 0 0 0 0
240 0 0 0 0 0 1 0 0 0 0
241 0 0 0 0 0 1 0 0 0 0
242 0 0 0 0 0 1 0 0 0 0
243 0 0 0 0 0 1 0 0 0 0
244 0 0 0 0 0 1 0 0 0 0
245 0 0 0 0 0 1 0 0 0 0
246 0 0 0 0 0 1 0 0 0 0
247 0 0 0 0 0 1 0 0 0 0
248 0 0 0 0 0 1 0 0 0 0
249 0 0 0 0 0 1 0 0 0 0
250 0 0 0 0 0 1 0 0 0 0
251 0 0 0 0 0 1 0 0 0 0
252 0 0 0 0 0 1 0 0 0 0
253 0 0 0 0 0 1 0 0 0 0
254 0 0 0 0 0 1 0 0 0 0
255 0 0 0 0 0 1 0 0 0 0
256 0 0 0 0 0 1 0 0 0 0
257 0 0 0 0 0 1 0 0 0 0
258 0 0 0 0 0 1 0 0 0 0
259 0 0 0 0 0 1 0 0 0 0
260 0 0 0 0 0 1 0 0 0 0
261 0 0 0 0 0 1 0 0 0 0
262 0 0 0 0 0 1 0 0 0 0
263 0 0 0 0 0 1 0 0 0 0
264 0 0 0 0 0 1 0 0 0 0
265 0 0 0 0 0 1 0 0 0 0
266 0 0 0 0 0 1 0 0 0 0
267 0 0 0 0 0 1 0 0 0 0
268 0 0 0 0 0 1 0 0 0 0
269 0 0 0 0 0 1 0 0 0 0
270 0 0 0 0 0 1 0 0 0 0
271 0 0 0 0 0 1 0 0 0 0
272 0 0 0 0 0 1 0 0 0 0
273 0 0 0 0 0 1 0 0 0 0
274 0 0 0 0 0 1 0 0 0 0
275 0 0 0 0 0 1 0 0 0 0
276 0 0 0 0 0 1 0 0 0 0
277 0 0 0 0 0 1 0 0 0 0
278 0 0 0 0 0 1 0 0 0 0
279 0 0 0 0 0 1 0 0 0 0
280 0 0 0 0 0 1 0 0 0 0
281 0 0 0 0 0 1 0 0 0 0
282 0 0 0 0 0 1 0 0 0 0
283 0 0 0 0 0 1 0 0 0 0
284 0 0 0 0 0 1 0 0 0 0
285 0 0 0 0 0 1 0 0 0 0
286 0 0 0 0 0 1 0 0 0 0
287 0 0 0 0 0 1 0 0 0 0
288 0 0 0 0 0 1 0 0 0 0
289 0 0 0 0 0 1 0 0 0 0
290 0 0 0 0 0 1 0 0 0 0
291 0 0 0 0 0 1 0 0 0 0
292 0 0 0 0 0 1 0 0 0 0
293 0 0 0 0 0 1 0 0 0 0
294 0 0 0 0 0 1 0 0 0 0
295 0 0 0 0 0 1 0 0 0 0
296 0 0 0 0 0 1 0 0 0 0
297 0 0 0 0 0 1 0 0 0 0
298 0 0 0 0 0 1 0 0 0 0
299 0 0 0 0 0 1 0 0 0 0
300 0 0 0 0 0 1 0 0 0 0
