x y z charge scale scaleCoul Type
 0 0 7.32503  37.1248  21.6815 -0.35 1 1 6
 0 1 6.32341  37.3719  22.2119 0.7 1 1 5
 0 2 5.32179  37.6191  22.7422 -0.35 1 1 6
 1 0 39.9953  33.4016  34.3795 -0.35 1 1 6
 1 1 39.8572  34.5498  34.2889 0.7 1 1 5
 1 2 39.7191  35.698  34.1982 -0.35 1 1 6
 2 0 12.7704  41.4498  41.1961 -0.35 1 1 6
 2 1 13.8073  41.8636  40.8809 0.7 1 1 5
 2 2 14.8441  42.2775  40.5657 -0.35 1 1 6
 3 0 6.3554  44.3221  22.0271 -0.35 1 1 6
 3 1 5.48798  44.4745  22.782 0.7 1 1 5
 3 2 4.62056  44.627  23.537 -0.35 1 1 6
 4 0 8.96525  6.85749  54.6729 -0.35 1 1 6
 4 1 8.34246  7.52832  53.9604 0.7 1 1 5
 4 2 7.71966  8.19916  53.2478 -0.35 1 1 6
 5 0 53.7529  53.0575  30.9569 -0.35 1 1 6
 5 1 53.1728  52.5036  31.7949 0.7 1 1 5
 5 2 52.5927  51.9496  32.633 -0.35 1 1 6
 6 0 10.802  29.5783  39.76 -0.35 1 1 6
 6 1 10.8742  30.668  40.1511 0.7 1 1 5
 6 2 10.9463  31.7578  40.5421 -0.35 1 1 6
 7 0 30.3551  12.9459  4.62506 -0.35 1 1 6
 7 1 30.5339  12.9742  5.77086 0.7 1 1 5
 7 2 30.7126  13.0025  6.91666 -0.35 1 1 6
 8 0 55.9873  53.7723  3.7399 -0.35 1 1 6
 8 1 55.2693  54.0212  4.61637 0.7 1 1 5
 8 2 54.5513  54.2701  5.49283 -0.35 1 1 6
 9 0 32.2765  36.8183  16.9082 -0.35 1 1 6
 9 1 32.9506  36.4931  16.0219 0.7 1 1 5
 9 2 33.6248  36.1679  15.1357 -0.35 1 1 6
 10 0 35.045  27.6654  26.3726 -0.35 1 1 6
 10 1 35.5693  27.1921  25.4524 0.7 1 1 5
 10 2 36.0936  26.7189  24.5322 -0.35 1 1 6
 11 0 48.1065  13.3574  54.4279 -0.35 1 1 6
 11 1 47.5312  12.727  55.2136 0.7 1 1 5
 11 2 46.956  12.0966  55.9993 -0.35 1 1 6
 12 0 14.6618  17.6757  36.4464 -0.35 1 1 6
 12 1 13.745  18.2597  36.8515 0.7 1 1 5
 12 2 12.8283  18.8437  37.2567 -0.35 1 1 6
 13 0 36.8441  47.5045  1.68733 -0.35 1 1 6
 13 1 37.59  47.9684  0.929716 0.7 1 1 5
 13 2 38.3359  48.4323  0.172104 -0.35 1 1 6
 14 0 10.5485  18.2221  34.8108 -0.35 1 1 6
 14 1 10.0624  18.6976  35.7506 0.7 1 1 5
 14 2 9.57626  19.1731  36.6903 -0.35 1 1 6
 15 0 2.91946  50.554  9.54852 -0.35 1 1 6
 15 1 3.80418  50.0853  10.1343 0.7 1 1 5
 15 2 4.6889  49.6165  10.7201 -0.35 1 1 6
 16 0 29.5246  20.2545  45.4711 -0.35 1 1 6
 16 1 29.2761  19.2353  44.9759 0.7 1 1 5
 16 2 29.0277  18.2161  44.4808 -0.35 1 1 6
 17 0 19.5344  46.6959  28.6712 -0.35 1 1 6
 17 1 20.0738  47.6905  28.4157 0.7 1 1 5
 17 2 20.6133  48.6852  28.1602 -0.35 1 1 6
 18 0 41.0618  42.4515  39.3153 -0.35 1 1 6
 18 1 40.3461  41.5828  39.0348 0.7 1 1 5
 18 2 39.6304  40.714  38.7543 -0.35 1 1 6
 19 0 15.2892  48.2953  15.4479 -0.35 1 1 6
 19 1 15.6448  47.2811  15.0115 0.7 1 1 5
 19 2 16.0005  46.2669  14.5751 -0.35 1 1 6
 20 0 49.5269  15.9709  14.6987 -0.35 1 1 6
 20 1 50.1313  15.7961  15.6732 0.7 1 1 5
 20 2 50.7358  15.6213  16.6478 -0.35 1 1 6
 21 0 47.7398  15.621  39.8428 -0.35 1 1 6
 21 1 47.8449  16.6535  40.361 0.7 1 1 5
 21 2 47.9501  17.686  40.8792 -0.35 1 1 6
 22 0 20.2293  36.4344  6.79621 -0.35 1 1 6
 22 1 20.5915  36.8599  7.81279 0.7 1 1 5
 22 2 20.9536  37.2854  8.82937 -0.35 1 1 6
 23 0 6.46505  56.036  53.6989 -0.35 1 1 6
 23 1 7.13104  55.4138  52.9813 0.7 1 1 5
 23 2 7.79702  54.7915  52.2638 -0.35 1 1 6
 24 0 2.82729  0.265488  24.8247 -0.35 1 1 6
 24 1 3.84157  0.800686  24.6503 0.7 1 1 5
 24 2 4.85584  1.33588  24.4759 -0.35 1 1 6
 25 0 16.6207  28.6101  47.7984 -0.35 1 1 6
 25 1 17.5494  29.2291  47.4822 0.7 1 1 5
 25 2 18.4781  29.8481  47.166 -0.35 1 1 6
 26 0 37.7129  18.3699  37.0239 -0.35 1 1 6
 26 1 38.2207  18.6554  36.0207 0.7 1 1 5
 26 2 38.7284  18.9409  35.0176 -0.35 1 1 6
 27 0 60.3004  32.7381  33.7537 -0.35 1 1 6
 27 1 59.5867  32.7741  34.6674 0.7 1 1 5
 27 2 58.873  32.8102  35.5812 -0.35 1 1 6
 28 0 5.05522  45.581  15.3539 -0.35 1 1 6
 28 1 4.16356  46.3217  15.31 0.7 1 1 5
 28 2 3.2719  47.0623  15.2661 -0.35 1 1 6
 29 0 56.0421  51.0815  53.0673 -0.35 1 1 6
 29 1 57.0581  51.1604  53.6216 0.7 1 1 5
 29 2 58.074  51.2393  54.1758 -0.35 1 1 6
 30 0 28.9924  37.2548  14.9352 -0.35 1 1 6
 30 1 29.7374  36.439  14.5815 0.7 1 1 5
 30 2 30.4823  35.6232  14.2278 -0.35 1 1 6
 31 0 15.7324  9.18708  3.51595 -0.35 1 1 6
 31 1 16.4117  10.0371  3.91806 0.7 1 1 5
 31 2 17.0909  10.8871  4.32017 -0.35 1 1 6
 32 0 25.1511  29.1443  27.0389 -0.35 1 1 6
 32 1 24.8819  29.9338  27.8451 0.7 1 1 5
 32 2 24.6128  30.7233  28.6512 -0.35 1 1 6
 33 0 31.3155  26.967  33.6084 -0.35 1 1 6
 33 1 32.3132  27.5505  33.7074 0.7 1 1 5
 33 2 33.3109  28.1339  33.8065 -0.35 1 1 6
 34 0 17.9894  25.0138  43.0715 -0.35 1 1 6
 34 1 17.4495  25.2286  42.0675 0.7 1 1 5
 34 2 16.9096  25.4434  41.0635 -0.35 1 1 6
 35 0 33.2613  54.5292  8.99974 -0.35 1 1 6
 35 1 32.8687  54.198  10.0398 0.7 1 1 5
 35 2 32.476  53.8668  11.0798 -0.35 1 1 6
 36 0 11.0579  34.5422  35.7882 -0.35 1 1 6
 36 1 11.484  33.6112  36.3334 0.7 1 1 5
 36 2 11.9102  32.6802  36.8787 -0.35 1 1 6
 37 0 25.9489  35.0532  31.0031 -0.35 1 1 6
 37 1 25.123  35.781  31.3689 0.7 1 1 5
 37 2 24.2971  36.5088  31.7346 -0.35 1 1 6
 38 0 53.2232  3.70047  16.5071 -0.35 1 1 6
 38 1 52.3939  4.29056  15.9506 0.7 1 1 5
 38 2 51.5646  4.88064  15.3942 -0.35 1 1 6
 39 0 8.03774  31.1752  42.1908 -0.35 1 1 6
 39 1 8.74976  31.8503  42.8095 0.7 1 1 5
 39 2 9.46178  32.5254  43.4283 -0.35 1 1 6
 40 0 38.522  36.7823  52.5696 -0.35 1 1 6
 40 1 37.6712  36.1927  52.0461 0.7 1 1 5
 40 2 36.8204  35.603  51.5226 -0.35 1 1 6
 41 0 -0.916583  34.5694  44.8327 -0.35 1 1 6
 41 1 -0.105114  35.2176  45.3495 0.7 1 1 5
 41 2 0.706356  35.8657  45.8662 -0.35 1 1 6
 42 0 12.0356  16.5071  39.1264 -0.35 1 1 6
 42 1 10.9231  16.58  39.4467 0.7 1 1 5
 42 2 9.81059  16.6529  39.767 -0.35 1 1 6
 43 0 44.934  29.2188  14.1597 -0.35 1 1 6
 43 1 44.816  28.2003  14.7022 0.7 1 1 5
 43 2 44.698  27.1818  15.2447 -0.35 1 1 6
 44 0 19.6067  36.7063  44.1498 -0.35 1 1 6
 44 1 19.1511  37.6072  44.7212 0.7 1 1 5
 44 2 18.6955  38.5081  45.2926 -0.35 1 1 6
 45 0 33.7156  26.304  37.7476 -0.35 1 1 6
 45 1 32.829  27.0062  37.4894 0.7 1 1 5
 45 2 31.9425  27.7083  37.2312 -0.35 1 1 6
 46 0 -2.03696  13.2026  49.5202 -0.35 1 1 6
 46 1 -1.96208  14.341  49.3099 0.7 1 1 5
 46 2 -1.8872  15.4793  49.0996 -0.35 1 1 6
 47 0 25.6478  -2.32596  6.68123 -0.35 1 1 6
 47 1 26.1107  -2.39953  5.62017 0.7 1 1 5
 47 2 26.5737  -2.4731  4.55911 -0.35 1 1 6
 48 0 13.4243  31.8481  43.864 -0.35 1 1 6
 48 1 13.0834  32.3701  44.8422 0.7 1 1 5
 48 2 12.7424  32.8921  45.8203 -0.35 1 1 6
 49 0 4.85504  0.0827652  7.32037 -0.35 1 1 6
 49 1 5.19582  -0.33792  6.29446 0.7 1 1 5
 49 2 5.5366  -0.758606  5.26855 -0.35 1 1 6
 50 0 36.2865  22.2303  60.594 -0.35 1 1 6
 50 1 36.7746  23.1307  60.0495 0.7 1 1 5
 50 2 37.2627  24.0312  59.505 -0.35 1 1 6
 51 0 19.4745  30.835  37.559 -0.35 1 1 6
 51 1 18.9565  30.1833  38.3669 0.7 1 1 5
 51 2 18.4386  29.5316  39.1747 -0.35 1 1 6
 52 0 54.7797  50.1068  26.9098 -0.35 1 1 6
 52 1 54.0041  50.3915  27.724 0.7 1 1 5
 52 2 53.2286  50.6763  28.5383 -0.35 1 1 6
 53 0 47.7293  6.85909  15.5764 -0.35 1 1 6
 53 1 47.4458  5.76346  15.3218 0.7 1 1 5
 53 2 47.1622  4.66784  15.0672 -0.35 1 1 6
 54 0 20.4605  7.91251  4.81517 -0.35 1 1 6
 54 1 20.9505  8.7063  4.12567 0.7 1 1 5
 54 2 21.4405  9.50008  3.43617 -0.35 1 1 6
 55 0 51.5742  30.2905  41.4694 -0.35 1 1 6
 55 1 52.249  31.1269  41.0327 0.7 1 1 5
 55 2 52.9238  31.9633  40.5961 -0.35 1 1 6
 56 0 11.8405  40.4753  43.6092 -0.35 1 1 6
 56 1 10.7231  40.45  43.9195 0.7 1 1 5
 56 2 9.60567  40.4248  44.2299 -0.35 1 1 6
 57 0 40.1983  55.6189  11.1608 -0.35 1 1 6
 57 1 40.1165  54.5827  11.6758 0.7 1 1 5
 57 2 40.0347  53.5465  12.1907 -0.35 1 1 6
 58 0 36.2947  21.8893  15.8817 -0.35 1 1 6
 58 1 36.1608  21.9217  14.7299 0.7 1 1 5
 58 2 36.0269  21.954  13.5781 -0.35 1 1 6
 59 0 39.6301  21.9263  20.2182 -0.35 1 1 6
 59 1 39.4074  21.6341  21.3185 0.7 1 1 5
 59 2 39.1847  21.3419  22.4188 -0.35 1 1 6
 60 0 16.8837  48.3221  31.8219 -0.35 1 1 6
 60 1 17.7194  48.0142  32.5652 0.7 1 1 5
 60 2 18.555  47.7064  33.3085 -0.35 1 1 6
 61 0 31.4764  1.09513  38.3761 -0.35 1 1 6
 61 1 30.7115  1.6559  39.044 0.7 1 1 5
 61 2 29.9466  2.21667  39.7119 -0.35 1 1 6
 62 0 29.4836  43.9319  6.66032 -0.35 1 1 6
 62 1 29.0264  42.8789  6.49361 0.7 1 1 5
 62 2 28.5692  41.8259  6.32691 -0.35 1 1 6
 63 0 -0.776677  28.8513  50.3252 -0.35 1 1 6
 63 1 0.279864  28.4473  50.0681 0.7 1 1 5
 63 2 1.33641  28.0433  49.8111 -0.35 1 1 6
 64 0 40.5247  52.9739  3.41757 -0.35 1 1 6
 64 1 40.8654  53.8819  2.7811 0.7 1 1 5
 64 2 41.206  54.7899  2.14462 -0.35 1 1 6
 65 0 28.3453  10.1484  29.5424 -0.35 1 1 6
 65 1 28.5158  9.61045  28.5289 0.7 1 1 5
 65 2 28.6863  9.07249  27.5155 -0.35 1 1 6
 66 0 26.2471  9.44475  16.206 -0.35 1 1 6
 66 1 26.9322  8.57237  16.5453 0.7 1 1 5
 66 2 27.6174  7.69999  16.8846 -0.35 1 1 6
 67 0 36.87  7.83057  15.3949 -0.35 1 1 6
 67 1 37.4947  7.86796  14.4183 0.7 1 1 5
 67 2 38.1195  7.90536  13.4416 -0.35 1 1 6
 68 0 46.2751  4.13385  51.1489 -0.35 1 1 6
 68 1 47.2954  3.67232  50.8461 0.7 1 1 5
 68 2 48.3156  3.21079  50.5433 -0.35 1 1 6
 69 0 10.8585  35.4287  46.9237 -0.35 1 1 6
 69 1 11.495  35.8387  46.0449 0.7 1 1 5
 69 2 12.1315  36.2487  45.1661 -0.35 1 1 6
 70 0 21.8236  47.4297  33.7057 -0.35 1 1 6
 70 1 21.753  47.2127  32.5684 0.7 1 1 5
 70 2 21.6823  46.9957  31.4311 -0.35 1 1 6
 71 0 51.5351  29.4066  14.8659 -0.35 1 1 6
 71 1 51.8594  30.4313  15.3024 0.7 1 1 5
 71 2 52.1837  31.456  15.7388 -0.35 1 1 6
 72 0 38.8397  48.6265  4.56793 -0.35 1 1 6
 72 1 38.9933  49.1873  5.57172 0.7 1 1 5
 72 2 39.1468  49.748  6.57551 -0.35 1 1 6
 73 0 20.9481  25.5572  29.922 -0.35 1 1 6
 73 1 20.5967  24.9724  28.9838 0.7 1 1 5
 73 2 20.2454  24.3877  28.0456 -0.35 1 1 6
