x y z charge scale scaleCoul Type
 0 0 17.2628  29.3881  33.6145 -0.3256 1 1 17
 0 1 16.2269  29.8291  33.8939 0.6512 1 1 16
 0 2 15.191  30.27  34.1733 -0.3256 1 1 17
 1 0 34.9956  22.1302  28.989 -0.3256 1 1 17
 1 1 33.9426  21.6886  28.7849 0.6512 1 1 16
 1 2 32.8895  21.2471  28.5809 -0.3256 1 1 17
 2 0 29.1711  16.0386  5.65732 -0.3256 1 1 17
 2 1 28.0602  16.2416  5.39206 0.6512 1 1 16
 2 2 26.9493  16.4446  5.1268 -0.3256 1 1 17
 3 0 19.3781  2.78897  35.2546 -0.3256 1 1 17
 3 1 19.4106  3.94524  35.1676 0.6512 1 1 16
 3 2 19.4431  5.10151  35.0805 -0.3256 1 1 17
 4 0 8.482  2.78674  38.253 -0.3256 1 1 17
 4 1 7.40507  2.83568  38.6813 0.6512 1 1 16
 4 2 6.32815  2.88462  39.1096 -0.3256 1 1 17
 5 0 36.5426  26.5893  5.34609 -0.3256 1 1 17
 5 1 36.5707  27.1262  4.31819 0.6512 1 1 16
 5 2 36.5988  27.6631  3.29029 -0.3256 1 1 17
 6 0 32.4967  36.3751  20.1843 -0.3256 1 1 17
 6 1 33.5088  36.0277  20.6323 0.6512 1 1 16
 6 2 34.5208  35.6804  21.0803 -0.3256 1 1 17
 7 0 0.488068  10.0783  11.5342 -0.3256 1 1 17
 7 1 1.36964  10.6373  12.0401 0.6512 1 1 16
 7 2 2.25121  11.1964  12.5459 -0.3256 1 1 17
 8 0 24.7009  6.81238  11.158 -0.3256 1 1 17
 8 1 25.0397  6.82693  12.2674 0.6512 1 1 16
 8 2 25.3785  6.84147  13.3767 -0.3256 1 1 17
 9 0 25.9842  3.47915  13.9138 -0.3256 1 1 17
 9 1 26.3044  3.68939  12.8189 0.6512 1 1 16
 9 2 26.6246  3.89963  11.724 -0.3256 1 1 17
 10 0 14.0097  33.857  1.13928 -0.3256 1 1 17
 10 1 14.6167  34.0604  2.10662 0.6512 1 1 16
 10 2 15.2237  34.2639  3.07396 -0.3256 1 1 17
 11 0 21.6084  7.88951  12.1993 -0.3256 1 1 17
 11 1 20.9946  7.34759  11.3776 0.6512 1 1 16
 11 2 20.3808  6.80567  10.5559 -0.3256 1 1 17
 12 0 15.3554  7.16692  32.4891 -0.3256 1 1 17
 12 1 15.5945  7.14169  31.3543 0.6512 1 1 16
 12 2 15.8335  7.11647  30.2194 -0.3256 1 1 17
 13 0 31.2585  25.5417  0.765857 -0.3256 1 1 17
 13 1 30.6077  26.4426  0.433666 0.6512 1 1 16
 13 2 29.9569  27.3436  0.101476 -0.3256 1 1 17
 14 0 29.0267  16.7201  14.3183 -0.3256 1 1 17
 14 1 28.5067  17.1304  13.366 0.6512 1 1 16
 14 2 27.9867  17.5407  12.4138 -0.3256 1 1 17
 15 0 10.2113  0.869903  17.3688 -0.3256 1 1 17
 15 1 11.344  1.11825  17.3981 0.6512 1 1 16
 15 2 12.4768  1.36659  17.4274 -0.3256 1 1 17
 16 0 23.6959  38.1543  14.5624 -0.3256 1 1 17
 16 1 23.943  38.415  15.6654 0.6512 1 1 16
 16 2 24.1901  38.6758  16.7684 -0.3256 1 1 17
 17 0 25.0233  31.8674  17.619 -0.3256 1 1 17
 17 1 25.642  30.8932  17.5018 0.6512 1 1 16
 17 2 26.2606  29.919  17.3846 -0.3256 1 1 17
 18 0 16.9958  19.6614  2.0765 -0.3256 1 1 17
 18 1 16.6907  20.1628  1.07593 0.6512 1 1 16
 18 2 16.3856  20.6642  0.0753663 -0.3256 1 1 17
 19 0 19.3573  0.437264  0.931592 -0.3256 1 1 17
 19 1 18.3208  0.0263035  0.611551 0.6512 1 1 16
 19 2 17.2843  -0.384657  0.29151 -0.3256 1 1 17
 20 0 23.0118  36.0599  33.7479 -0.3256 1 1 17
 20 1 22.8549  35.4948  34.7487 0.6512 1 1 16
 20 2 22.6981  34.9297  35.7495 -0.3256 1 1 17
 21 0 12.4032  28.2118  22.7955 -0.3256 1 1 17
 21 1 12.8651  28.2291  23.8595 0.6512 1 1 16
 21 2 13.327  28.2464  24.9234 -0.3256 1 1 17
 22 0 21.8311  32.8198  9.11177 -0.3256 1 1 17
 22 1 22.6658  33.5274  9.49683 0.6512 1 1 16
 22 2 23.5004  34.235  9.88188 -0.3256 1 1 17
 23 0 0.665825  23.7455  5.25945 -0.3256 1 1 17
 23 1 1.30349  22.7865  5.39845 0.6512 1 1 16
 23 2 1.94116  21.8275  5.53745 -0.3256 1 1 17
 24 0 36.7212  37.353  9.81698 -0.3256 1 1 17
 24 1 37.0402  37.7915  10.8425 0.6512 1 1 16
 24 2 37.3591  38.23  11.8679 -0.3256 1 1 17
 25 0 31.1369  34.3906  14.3385 -0.3256 1 1 17
 25 1 30.0821  34.831  14.1412 0.6512 1 1 16
 25 2 29.0272  35.2715  13.9439 -0.3256 1 1 17
 26 0 19.1258  11.2451  20.9829 -0.3256 1 1 17
 26 1 19.3827  11.2588  19.8518 0.6512 1 1 16
 26 2 19.6395  11.2725  18.7206 -0.3256 1 1 17
 27 0 7.38275  6.60282  23.6892 -0.3256 1 1 17
 27 1 7.08382  7.71472  23.548 0.6512 1 1 16
 27 2 6.78489  8.82662  23.4069 -0.3256 1 1 17
 28 0 28.9001  28.8247  20.3626 -0.3256 1 1 17
 28 1 27.99  29.3664  20.8357 0.6512 1 1 16
 28 2 27.0799  29.9081  21.3088 -0.3256 1 1 17
 29 0 0.955574  32.0234  4.62868 -0.3256 1 1 17
 29 1 1.35022  32.9022  5.27478 0.6512 1 1 16
 29 2 1.74488  33.7811  5.92088 -0.3256 1 1 17
 30 0 36.0205  27.4443  30.2616 -0.3256 1 1 17
 30 1 37.0615  27.06  29.9236 0.6512 1 1 16
 30 2 38.1025  26.6758  29.5856 -0.3256 1 1 17
 31 0 33.6055  30.4277  37.4899 -0.3256 1 1 17
 31 1 33.8451  30.3176  36.3603 0.6512 1 1 16
 31 2 34.0847  30.2074  35.2307 -0.3256 1 1 17
 32 0 14.7563  35.39  30.0983 -0.3256 1 1 17
 32 1 15.8794  35.1118  30.0155 0.6512 1 1 16
 32 2 17.0025  34.8336  29.9327 -0.3256 1 1 17
 33 0 24.6912  27.9577  19.8287 -0.3256 1 1 17
 33 1 24.0538  27.0305  19.5465 0.6512 1 1 16
 33 2 23.4164  26.1033  19.2643 -0.3256 1 1 17
 34 0 32.8878  9.0563  4.26353 -0.3256 1 1 17
 34 1 33.6275  8.65959  5.06417 0.6512 1 1 16
 34 2 34.3672  8.26288  5.86481 -0.3256 1 1 17
 35 0 25.4793  35.222  12.8733 -0.3256 1 1 17
 35 1 24.3432  34.9923  12.9203 0.6512 1 1 16
 35 2 23.2072  34.7627  12.9674 -0.3256 1 1 17
 36 0 24.1677  36.673  24.9339 -0.3256 1 1 17
 36 1 23.4284  37.4944  25.2864 0.6512 1 1 16
 36 2 22.6891  38.3159  25.6389 -0.3256 1 1 17
 37 0 14.942  8.22002  6.14701 -0.3256 1 1 17
 37 1 16.0426  8.15782  6.50816 0.6512 1 1 16
 37 2 17.1432  8.09561  6.86931 -0.3256 1 1 17
 38 0 4.01548  26.2365  35.7469 -0.3256 1 1 17
 38 1 3.03748  25.6177  35.6676 0.6512 1 1 16
 38 2 2.05949  24.999  35.5883 -0.3256 1 1 17
 39 0 33.5106  34.8901  12.3418 -0.3256 1 1 17
 39 1 34.6693  34.8865  12.2874 0.6512 1 1 16
