x y z charge scale scaleCoul Type
 0 0 22.6684  22.5865  -0.185143 -0.35 1 1 1
 0 1 22.9573  23.6346  -0.589616 0.7 1 1 0
 0 2 23.2462  24.6827  -0.994088 -0.35 1 1 1
 1 0 44.8365  9.35458  25.9 -0.35 1 1 1
 1 1 45.8203  9.08581  26.4527 0.7 1 1 0
 1 2 46.804  8.81703  27.0055 -0.35 1 1 1
 2 0 59.2325  39.9772  44.228 -0.35 1 1 1
 2 1 59.3696  40.9959  43.6903 0.7 1 1 0
 2 2 59.5066  42.0146  43.1526 -0.35 1 1 1
 3 0 20.7957  66.351  16.584 -0.35 1 1 1
 3 1 19.8331  65.778  16.8848 0.7 1 1 0
 3 2 18.8704  65.2049  17.1856 -0.35 1 1 1
 4 0 41.6681  52.9811  26.274 -0.35 1 1 1
 4 1 40.6951  53.1897  25.678 0.7 1 1 0
 4 2 39.722  53.3983  25.082 -0.35 1 1 1
 5 0 29.7537  50.9891  27.2625 -0.35 1 1 1
 5 1 29.6014  50.5729  26.1906 0.7 1 1 0
 5 2 29.4491  50.1566  25.1186 -0.35 1 1 1
 6 0 32.4734  66.5444  33.1734 -0.35 1 1 1
 6 1 33.1935  67.426  32.95 0.7 1 1 0
 6 2 33.9136  68.3076  32.7267 -0.35 1 1 1
 7 0 40.9562  39.3863  29.5959 -0.35 1 1 1
 7 1 41.033  40.5247  29.3867 0.7 1 1 0
 7 2 41.1098  41.6631  29.1776 -0.35 1 1 1
 8 0 41.54  26.4198  39.1783 -0.35 1 1 1
 8 1 42.5173  26.155  39.7443 0.7 1 1 0
 8 2 43.4946  25.8901  40.3102 -0.35 1 1 1
 9 0 3.66981  64.2156  54.9117 -0.35 1 1 1
 9 1 3.98773  63.2669  55.4987 0.7 1 1 0
 9 2 4.30566  62.3182  56.0857 -0.35 1 1 1
 10 0 70.7076  43.3816  63.2796 -0.35 1 1 1
 10 1 70.3873  42.8636  62.2923 0.7 1 1 0
 10 2 70.067  42.3457  61.305 -0.35 1 1 1
 11 0 53.5916  38.5718  68.7756 -0.35 1 1 1
 11 1 52.8685  39.1311  69.4897 0.7 1 1 0
 11 2 52.1454  39.6903  70.2038 -0.35 1 1 1
 12 0 61.7213  54.9638  39.4406 -0.35 1 1 1
 12 1 62.0345  56.0655  39.2566 0.7 1 1 0
 12 2 62.3477  57.1671  39.0726 -0.35 1 1 1
 13 0 20.9387  41.7646  2.52858 -0.35 1 1 1
 13 1 21.0339  41.2473  1.49469 0.7 1 1 0
 13 2 21.1291  40.73  0.460795 -0.35 1 1 1
 14 0 20.1949  43.6333  37.1149 -0.35 1 1 1
 14 1 20.571  42.994  38.0068 0.7 1 1 0
 14 2 20.9472  42.3547  38.8987 -0.35 1 1 1
 15 0 54.5351  36.5126  50.5046 -0.35 1 1 1
 15 1 55.0992  35.5264  50.2705 0.7 1 1 0
 15 2 55.6632  34.5401  50.0363 -0.35 1 1 1
 16 0 50.1567  63.1444  38.0256 -0.35 1 1 1
 16 1 49.5618  62.3146  37.475 0.7 1 1 0
 16 2 48.9668  61.4849  36.9244 -0.35 1 1 1
 17 0 54.627  22.8951  29.823 -0.35 1 1 1
 17 1 54.939  22.3479  30.7971 0.7 1 1 0
 17 2 55.2509  21.8007  31.7712 -0.35 1 1 1
 18 0 54.1535  54.118  11.48 -0.35 1 1 1
 18 1 53.9736  54.5112  12.5564 0.7 1 1 0
 18 2 53.7937  54.9043  13.6328 -0.35 1 1 1
 19 0 37.6973  36.5775  34.5969 -0.35 1 1 1
 19 1 36.6864  36.9289  35.0442 0.7 1 1 0
 19 2 35.6754  37.2802  35.4915 -0.35 1 1 1
 20 0 66.0116  12.8763  15.6848 -0.35 1 1 1
 20 1 65.1502  12.2881  15.1772 0.7 1 1 0
 20 2 64.2889  11.6998  14.6695 -0.35 1 1 1
 21 0 39.8783  58.3268  69.5186 -0.35 1 1 1
 21 1 39.418  58.3696  70.5825 0.7 1 1 0
 21 2 38.9577  58.4124  71.6464 -0.35 1 1 1
 22 0 29.0677  49.8495  64.7421 -0.35 1 1 1
 22 1 28.4015  48.9035  64.6599 0.7 1 1 0
 22 2 27.7352  47.9575  64.5777 -0.35 1 1 1
 23 0 15.9044  48.9137  5.57106 -0.35 1 1 1
 23 1 15.9785  49.3855  4.51393 0.7 1 1 0
 23 2 16.0527  49.8573  3.45679 -0.35 1 1 1
 24 0 2.085  37.9121  18.7435 -0.35 1 1 1
 24 1 2.45233  38.9685  18.436 0.7 1 1 0
 24 2 2.81966  40.025  18.1286 -0.35 1 1 1
 25 0 22.4449  54.5296  46.9571 -0.35 1 1 1
 25 1 23.3813  54.4352  46.2791 0.7 1 1 0
 25 2 24.3178  54.3408  45.601 -0.35 1 1 1
 26 0 4.16435  2.84647  25.0204 -0.35 1 1 1
 26 1 3.27435  2.69465  24.292 0.7 1 1 0
 26 2 2.38434  2.54284  23.5637 -0.35 1 1 1
 27 0 -0.925793  70.2407  47.01 -0.35 1 1 1
 27 1 -0.0218557  70.3675  47.7258 0.7 1 1 0
 27 2 0.882082  70.4944  48.4416 -0.35 1 1 1
 28 0 57.5301  51.1894  31.0448 -0.35 1 1 1
 28 1 56.8945  50.8073  31.9368 0.7 1 1 0
 28 2 56.2589  50.4252  32.8288 -0.35 1 1 1
 29 0 39.2537  63.2787  17.682 -0.35 1 1 1
 29 1 39.4252  64.4196  17.5619 0.7 1 1 0
 29 2 39.5967  65.5605  17.4418 -0.35 1 1 1
 30 0 31.2019  69.795  61.5968 -0.35 1 1 1
 30 1 30.6145  70.7767  61.7889 0.7 1 1 0
 30 2 30.0271  71.7583  61.9811 -0.35 1 1 1
 31 0 1.62225  34.2043  41.0834 -0.35 1 1 1
 31 1 1.45736  33.692  42.111 0.7 1 1 0
 31 2 1.29247  33.1796  43.1386 -0.35 1 1 1
 32 0 58.7027  22.7829  73.1001 -0.35 1 1 1
 32 1 58.9529  23.9147  73.0535 0.7 1 1 0
 32 2 59.2031  25.0464  73.0069 -0.35 1 1 1
 33 0 7.97377  52.8858  29.4128 -0.35 1 1 1
 33 1 7.08913  53.3099  28.7938 0.7 1 1 0
 33 2 6.20449  53.734  28.1748 -0.35 1 1 1
 34 0 11.067  55.6427  36.6527 -0.35 1 1 1
 34 1 10.2362  56.0818  35.9725 0.7 1 1 0
 34 2 9.40548  56.5209  35.2923 -0.35 1 1 1
 35 0 5.35363  43.4596  18.8763 -0.35 1 1 1
 35 1 5.38275  42.9569  19.9213 0.7 1 1 0
 35 2 5.41188  42.4542  20.9663 -0.35 1 1 1
 36 0 25.949  10.1777  45.6142 -0.35 1 1 1
 36 1 26.2281  10.5709  44.5592 0.7 1 1 0
 36 2 26.5072  10.9642  43.5042 -0.35 1 1 1
 37 0 61.843  19.5847  44.0672 -0.35 1 1 1
 37 1 61.1086  19.8762  44.9164 0.7 1 1 0
 37 2 60.3741  20.1677  45.7657 -0.35 1 1 1
 38 0 8.19259  44.331  18.7051 -0.35 1 1 1
 38 1 8.08677  45.295  19.3417 0.7 1 1 0
 38 2 7.98095  46.259  19.9782 -0.35 1 1 1
 39 0 48.8288  14.6295  18.3221 -0.35 1 1 1
 39 1 47.8455  14.7199  17.7132 0.7 1 1 0
 39 2 46.8623  14.8103  17.1044 -0.35 1 1 1
 40 0 8.60934  54.5514  40.0158 -0.35 1 1 1
 40 1 7.93127  53.8411  39.3983 0.7 1 1 0
 40 2 7.2532  53.1308  38.7808 -0.35 1 1 1
