x y z charge scale scaleCoul Type
 0 0 23.9597  20.6599  6.11878 0 1 1 20
 1 0 19.1463  34.0311  20.1273 0 1 1 20
 2 0 37.2136  6.07686  36.4625 0 1 1 20
 3 0 23.1302  34.5099  32.2209 0 1 1 20
 4 0 24.5538  35.4525  35.3493 0 1 1 20
 5 0 27.1346  34.0929  28.3652 0 1 1 20
 6 0 18.3279  35.9098  34.1648 0 1 1 20
 7 0 37.5433  11.4063  3.48297 0 1 1 20
 8 0 8.59689  17.6545  1.47786 0 1 1 20
 9 0 45.912  6.33913  35.6791 0 1 1 20
 10 0 8.16197  23.411  -2.81708 0 1 1 20
 11 0 13.3509  5.90495  31.2543 0 1 1 20
 12 0 23.5744  22.395  12.3006 0 1 1 20
 13 0 28.6311  41.6726  15.4264 0 1 1 20
 14 0 13.7219  35.4764  34.4538 0 1 1 20
 15 0 47.0324  1.46499  33.3909 0 1 1 20
 16 0 29.3224  0.0587633  -1.0809 0 1 1 20
 17 0 28.0399  38.1522  21.2572 0 1 1 20
 18 0 39.5429  17.8833  1.90164 0 1 1 20
 19 0 42.435  3.83265  22.3489 0 1 1 20
 20 0 24.1667  4.83826  1.621 0 1 1 20
 21 0 42.8943  6.13695  31.2322 0 1 1 20
 22 0 13.2292  26.2801  8.70127 0 1 1 20
 23 0 36.158  25.8006  2.5376 0 1 1 20
 24 0 8.03129  20.1928  3.61417 0 1 1 20
 25 0 44.8787  16.3064  36.8451 0 1 1 20
 26 0 38.5822  11.2182  14.7649 0 1 1 20
 27 0 27.9315  8.24601  6.05065 0 1 1 20
 28 0 31.8118  39.3849  29.3507 0 1 1 20
 29 0 34.9134  39.0662  32.0436 0 1 1 20
 30 0 36.543  3.16695  16.8942 0 1 1 20
 31 0 30.8798  40.5174  38.7817 0 1 1 20
 32 0 37.3007  12.1729  19.0462 0 1 1 20
 33 0 26.4988  5.36997  13.5908 0 1 1 20
 34 0 47.985  5.57819  26.6615 0 1 1 20
 35 0 20.4673  32.4934  22.9947 0 1 1 20
 36 0 29.0897  35.8881  18.3696 0 1 1 20
 37 0 38.199  9.4173  34.9053 0 1 1 20
 38 0 21.6708  40.8171  14.8656 0 1 1 20
 39 0 17.4209  12.2159  0.880363 0 1 1 20
 40 0 3.65902  38.5986  35.2361 0 1 1 20
 41 0 38.9324  14.5251  2.73251 0 1 1 20
 42 0 38.9923  38.7263  38.8104 0 1 1 20
 43 0 12.0123  1.92968  18.4685 0 1 1 20
 44 0 5.38876  31.7143  37.7895 0 1 1 20
 45 0 15.472  6.54126  23.3755 0 1 1 20
 46 0 34.0116  6.88109  28.2308 0 1 1 20
 47 0 14.9525  39.0998  33.7677 0 1 1 20
 48 0 14.3787  1.79299  11.4898 0 1 1 20
 49 0 5.14333  8.73311  17.8727 0 1 1 20
 50 0 26.8613  17.0787  7.07146 0 1 1 20
 51 0 38.0294  9.65456  7.32964 0 1 1 20
 52 0 40.5872  6.51817  22.4643 0 1 1 20
 53 0 2.32821  6.38748  36.9362 0 1 1 20
 54 0 31.0746  36.9884  22.6701 0 1 1 20
 55 0 21.8359  22.0971  8.48137 0 1 1 20
 56 0 32.616  9.61557  14.4221 0 1 1 20
 57 0 32.0055  18.3363  1.37257 0 1 1 20
 58 0 43.3171  3.83038  36.5291 0 1 1 20
 59 0 13.6146  4.23844  7.78852 0 1 1 20
 60 0 29.1244  21.9643  19.6931 0 1 1 20
 61 0 3.60679  3.50151  26.3477 0 1 1 20
 62 0 8.55169  7.7942  16.3988 0 1 1 20
 63 0 4.62464  28.1049  37.4687 0 1 1 20
 64 0 42.9173  13.8279  33.6115 0 1 1 20
 65 0 5.53598  3.28098  22.5161 0 1 1 20
 66 0 42.2074  3.09374  32.8623 0 1 1 20
 67 0 34.5574  35.3137  33.6092 0 1 1 20
 68 0 9.06765  9.75685  37.4699 0 1 1 20
 69 0 10.3695  4.4172  15.9372 0 1 1 20
 70 0 16.0042  37.5899  36.8038 0 1 1 20
 71 0 31.1372  10.885  7.64248 0 1 1 20
 72 0 3.87655  6.07062  33.4833 0 1 1 20
 73 0 27.7893  7.27628  23.1344 0 1 1 20
 74 0 22.1202  34.6853  25.4789 0 1 1 20
 75 0 28.8552  14.4654  17.3054 0 1 1 20
 76 0 17.2378  15.6988  2.0007 0 1 1 20
 77 0 23.9594  32.0793  22.506 0 1 1 20
 78 0 26.4114  12.5641  4.07187 0 1 1 20
 79 0 27.7526  30.3134  38.8401 0 1 1 20
 80 0 37.8144  34.1743  1.66083 0 1 1 20
 81 0 21.4315  6.60868  15.3731 0 1 1 20
 82 0 31.8943  41.2605  33.1983 0 1 1 20
 83 0 30.3821  29.1974  36.4819 0 1 1 20
 84 0 18.8923  4.88516  20.9705 0 1 1 20
 85 0 24.5604  28.3379  7.74737 0 1 1 20
 86 0 9.21401  4.09279  7.42722 0 1 1 20
 87 0 -0.0321183  9.42102  37.2531 0 1 1 20
 88 0 1.61619  3.90711  31.4036 0 1 1 20
 89 0 24.1014  8.77599  13.2916 0 1 1 20
 90 0 46.0365  7.34113  18.424 0 1 1 20
 91 0 40.6879  3.88297  38.8815 0 1 1 20
 92 0 18.4412  17.216  5.32073 0 1 1 20
